Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
53,15/7/2015,InstaLively.com,Live video streaming app,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",Seed Funding,N/A,
54,15/7/2015,Roadrunnr,Hyper local logistics platform,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,"11,000,000",Series A
55,16/7/2015,Ketto,Crowd Funding Platform,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,"700,000",
56,17/7/2015,QuikWallet,F&B sector Mobile Payment platform,Mumbai,Snow Leopard Technology Ventures,Private Equity,"1,600,000",Follow on Funding
57,17/7/2015,Omnikart,Industrial Supplies B2B ecommerce,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,"100,000",
58,20/7/2015,Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,"15,000,000",No confirmation
59,20/7/2015,Innoviti,Payment Solutions platform,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,"4,850,000",Series A
60,21/7/2015,ZenRadius,Online Hiring Platform,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,N/A,
61,21/7/2015,Joy by nature,Organic Food ecommerce,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,"1,000,000",Series A
62,22/7/2015,Iqlect,Big Data & Analytics platform,Bangalore,Exfinity Venture Partners,Private Equity,"2,000,000",Series A
63,22/7/2015,deGustibus,Fine Dining Restaurant Chain,Mumbai,India Value Fund Advisors,Private Equity,"30,000,000",Late Stage
64,23/7/2015,Nestaway,Luxury Rental Homes,Bangalore,"Flipkart, Tiger Global",Private Equity,"12,750,000",Series A
65,23/7/2015,Mswipe,Mobile Point of Sale payment solution,,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",Private Equity,"25,000,000",Series B
66,23/7/2015,Myonsto,Online Grocers,Ahmedabad,Jayant Bokadia,Seed Funding,"320,000",
67,23/7/2015,iCrushiFlush,Casual Dating App,Mumbai,IDG Ventures India,Seed Funding,N/A,
68,23/7/2015,MedGenome,Clinical Genomics Provider,Bangalore,Sequoia Capital,Private Equity,"20,000,000",Series B
69,23/7/2015,HolidayIQ,Travel information portal,Bangalore,MakeMyTrip,Private Equity,"15,000,000",Strategic Investment
70,23/7/2015,Fitternity,Fitness Marketplace,Mumbai,Exfinity Venture Partners,Private Equity,"1,000,000",Series A
71,23/7/2015,Quikr,Online & Mobile classified listings,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,"60,000,000",Late Stage
72,23/7/2015,JetSetGo,Private Jet/ Helicopter Marketplace,New Delhi,YourWeCan Ventures,Seed Funding,N/A,
73,24/7/2015,BroEx,Real Estate Broker network App,Gurgaon,Lightspeed India,Private Equity,"1,000,000",Bridge round
74,25/7/2015,Shopatplaces,Ethnic/ Traditional Fashion Store,New Delhi,Indian Angel Network,Seed Funding,N/A,
75,25/7/2015,CredR,Used Bikes Marketplace,Mumbai,Fidelity Growth Partners,Private Equity,"15,000,000",Series A
76,27/7/2015,ManageMySpa,Spa & Salon Management Software,Hyderabad,Accel Partners,Private Equity,"6,000,000",Series A
77,27/7/2015,Townrush,B2B logistics delivery platform,Bangalore,Lightspeed Venture Partners,Seed Funding,N/A,
78,27/7/2015,Locus,Logistics Automation Platform,Bangalore,"growX ventures,  Manish Singhal",Seed Funding,N/A,
79,27/7/2015,Bevy,Online Hiring Platform,Bangalore,Varun Agarwal & Others,Seed Funding,N/A,
80,28/7/2015,Pepperfry,Online home décor marketplace,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,"100,000,000",Series D
81,28/7/2015,Flipkart.com,Online Marketplace,Bangalore,Steadview Capital and existing investors,Private Equity,"700,000,000","Late Stage, 10th RoundMore here"
82,28/7/2015,Opinio,Hyperlocal food & grocery store,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,"1,300,000",
83,28/7/2015,Zoctr,Health-Tech platform,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,"1,000,000",
84,29/7/2015,Zimmber,Hyperlocal Handyman Services,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures,  Mohandas Pai",Private Equity,"2,000,000",Series A
85,29/7/2015,trueHb,Medical Tech Instruments,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,"2,400,000",
86,29/7/2015,Zovi.com/ Little App,Hyperlocal Deals Marketplace,Bangalore,"Paytm, SAIF Partners,  Tiger Global Management & others",Private Equity,"50,000,000",Series A
87,29/7/2015,Swajal,Innovative Water Solutions,Gurgaon,Abhishek Gupta,Private Equity,"1,200,000",Series A
88,30/7/2015,Pipa Bella,Online Jewelry Store,Mumbai,LionRock Capital,Private Equity,"600,000",Pre-Series A
89,30/7/2015,Pragmatix,Business intelligence & Analytics,Mumbai,SIDBI Venture Capital Ltd,Private Equity,"2,400,000",Series A
90,30/7/2015,Droom.in,Used Vehicle Marketplace,New Delhi,"Lightbox Ventures, Beenos",Private Equity,"16,000,000",Series A
91,30/7/2015,MadRat Games,Educational Board Games,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,"168,000",
92,30/7/2015,Noodle Play,Chinese food delivery,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,"168,000",
93,30/7/2015,Wassup,On-Demand Laundry & Dry cleaning App,Chennai,B S Nagesh,Private Equity,N/A,Pre-Series A
94,30/7/2015,Cartisan,On-Demand Car services App,Bangalore,"YouWeCan Ventures,  Aprameya Radhakrishna",Seed Funding,N/A,
95,31/7/2015,LazyLad,Hyperlocal Grocery App,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,"500,000",pre-Series A
96,31/7/2015,TripFactory,Online Curated Holiday package bookings,Bangalore,"Aarin Capital Partners,",Private Equity,N/A,Series A
97,31/7/2015,Prothom,Hasbro Toy Manufacturer,Pune,Oliphabs Capital,Private Equity,"2,000,000",Series A
98,31/7/2015,Bona Vita,Travel Tech,Gurgaon,MakeMyTrip,Private Equity,"5,000,000",Strategic Investment
99,,,,,,,,
100,,,,,,,,
,,,,,,,,
