Sr. No.,Date(dd/mm/yyyy),Startup Name,Investors’ Name,InvestmentType,Amount (in USD),Remarks
48,26/03/2015,Roposo.com,"Tiger Global Management, Indian Quotient, Binny Bansal",Private Equity,"5,000,000",Series A
49,26/03/2015,Teewe,"Sequoia Capital, India Quotient",Seed Funding,"1,750,000",
50,26/03/2015,ePoise,Undisclosed,Seed Funding,N/A,
51,27/03/2015,Urjas,Solidarity Venture Capital & others,Seed Funding,"100,000",
52,27/03/2015,Chargein,Pittie Group,Seed Funding,"100,000",
53,28/03/2015,Yogurt Labs,"Nick Adams, Kiran Bhat, Family Pot Investments LLP",Seed Funding,"115,000",
54,28/03/2015,LimeRoad.com,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",Private Equity,"30,000,000",
55,28/03/2015,Team Indus,"Nandan Nilekani, Rajiv Mody, Ajai Chowdhary",Private Equity,"1,500,000",Pre-Series A
56,30/03/2015,Arohan Financial Services,Tano Capital,Private Equity,"10,000,000",
57,30/03/2015,BillDesk,TA Associates,Private Equity,"75,000,000",Incremental Capital
58,31/03/2015,Triphobo,"Mayfield Ventures, Kalaari Capital",Private Equity,"3,000,000",Series B (More Here)
59,31/03/2015,Aryaka,"Trinity Ventures, InterWest Partners, Mohr Davidow Ventures, Presidio Ventures",Private Equity,"16,000,000",Series D
60,31/03/2015,Appsdaily,"Zodius Capital, Ru-Net, Kalaari Capital,  Qualcomm Ventures",Private Equity,"16,000,000",Series C
,,,,,,
