,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
37,iNurture Education,,,Edtech,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,Kimera Ltd,"$4,000,000",
38,Pocket52,2017,Bangalore,Gaming,An online poker playing platform,Nitesh Salvi,Gameskraft,"$1,750,000",Series A
39,QuaQua,2016,Hyderabad,Travel,Virtual travel guide platform,"Purav Shah, Sandesh Reddy",Anthill Ventures,"$1,000,000",
40,Crofarm,2016,Delhi,Agritech,Supply chain that supports farmers and provides businesses with freshest produce,"Prashant Jain, Varun Khurana",Smile group,"$1,000,000",
41,Timios,,Bangalore,Foodtech,Provides healthy snacks for kids,Aswani Chaitanya,Rangsons Technologies,Undisclosed,Pre series A
42,Wooden Street,2015,Jaipur,Ecommerce,It enables to order custom furniture online,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,"$3,000,000",Series A
43,BankBazaar,2008,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,",WSV Capital,"$5,967,000",Series D1
44,Rentmojo,2012,Bangalore,Rental,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment","$2,980,000",
45,Credgencies,2018,,AI & Debt,Tech-enabled platform for resolution of non-performing assets,"Rishabh Goel, Anand Agrawal, Mayank Khera",Titan Capital,Undiclsosed,Seed round
46,Knorish,,Delhi,SaaS/Edtech,All-in-one knowledge commerce SaaS platform,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,"$323,000",Pre series A
47,LetsTransport,2015,Bangalore,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Black Soil,"$1,326,000",
48,Vahak,2017,,Transport,It enables logistic companies to conncet with transporters,"Karan Shaha, Vikas Chandrawat","Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran",Undisclosed,Seed round
49,Nutrova,2013,Mumbai,Nutrition,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",Akshay Pai,DSG Consumer Partners,Undisclosed,Pre series A
50,Cube Wealth,2018,Mumbai,SaaS,A digital wealth management services,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding","$500,000",Mid series
