,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
32,Soxytoes,,Delhi,Ecommerce,Online store to buy various types of socks including funky and colorful socks,"Vidushi Kajaria, Aayush Goenka",Angel network,Undisclosed,
33,F5,2018,Delhi,E-market,Retail Aggregator,"Raghav Arora, Lalit Kumar Aggarwal",LetsVenture investors,Undisclosed,Seed Round
34,Paper Boat,2013,Bangalore,Food & Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture","$4,049,500",
35,Salesken,,Bangalore,AI & Data science,Provides sales professionals with intelligence on various aspects of the sales pitch,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,"$8,000,000",Series A
36,Arya,,Noida,Agritech,Provides post-harvest services across the agricultural value chain,Prasanna Rao,LGT Lightstone Aspada,"$6,000,000",Series B
37,Leap Finance,,Bangalore,Fintech,Provides education loans to students based on the student’s future income,"Vaibhav Singh, Arnav Kumar",Sequoia India,"$5,500,000",
38,Sleepy Owl,2016,Delhi,Beverages,"It sells ready to drink cold brew coffees, brew boxes and packs.","Ajai Thandi, Arman Sood, Ashwajeet Singh",Rukam Capital,Undisclosed,
39,Tricog,2015,Bangalore,Healthtech,Provides virtual cardiology services through its AI-powered healthcare platforms,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund","$10,500,000",Series B
40,GogoBus,,Delhi,Travel tech,Inter-City Mobility Startup,Amit Gupta,Ixigo,Undisclosed,
41,Trell,2016,Bangalore,Social e-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ","$4,000,000",Pre series A
42,Spaciya Consultants,,Noida,Real Estate,Real estate consultancy firms,Ajit Panda,Alok Garg,"$500,000",Pre series A
43,Bounce,2014,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",InnoVen Capital,"$6,500,000",
44,Neeman,2017,,Ecommerce,An eco-conscious footwear brand making comfortable shoes using Merino Wool,"Taran Chhabra, Amar Preet Singh",Anicut Angel Fund,"$1,000,000",Pre series A
45,Chqbook,2017,Gurugram,Fintech,"Marketplace for small business owners, offering them products around lending, credit cards etc","Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,"$5,000,000",Series A
46,SMEcorner,2014,Mumbai,Fintech,Financial lending firm to SMEs,"Bhatia, Sneha Shah",Paragon Partners,"$30,000,000",Series B
47,Oda Class,,Bangalore,Edtech,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni","Li Yong, Shushant Srivastava",Yuanfudao,Undisclosed,Pre Series A
48,Spinny,2015,Haryana,E-tail,Used car retailing platform,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal","$43,700,000",Series B
49,goStops,2012,Delhi,Accomodation,A premium chain of youth hostels catering to the millennials,"Pallavi Agarwal, Pankaj Parwanda",Atraxn Partners.,Undisclosed,
