Sr. No.,Name of Company,Year Founded,Technology,Business Model,Location,Number of Employees,Revenue,Most Recent Funding Amount,Number of Funding Rounds
40,Prakriti E-Mobility,2019,Electric car rental and charging station solutions provider,"Offers e-mobility services, charging stations, and business commute options","Delhi, India",,$40 million,$2.1M,
41,PURE EV,2015,Electric two-wheeler manufacturing,"Creates electric scooters and electric bicycles with features like anti-theft smart locks, alloy wheels, LCD screens, etc.","Hyderabad, India",,$41 million,$6.22M,
42,RACEnergy,2018,EV powertrain and battery changing station manufacturing,"Creates electric vehicles, energy storage systems, and powertrains with fast battery-changing stations","Hyderabad, India",,$42 million,$6M,
43,SUN Mobility,2017,Electric vehicle swappable battery station operator,"Provides interchangeable battery stations for electric two- and three-wheelers, and buses","Bengaluru, India",,$43 million,$75.8M,
44,TSUYO,2020,Motor designing for multi-category electric three-wheelers,"Creates BDLC motor models and controllers for electric rickshaws, carts, loaders, etc.","Delhi, India",,$44 million,,
45,Vecmocon Technologies,2015,Electric vehicle technology solutions provider,"Offers battery management system, vehicle intelligence, chargers, motor controllers, EV cluster, fleet management solutions, etc.","Delhi, India",,$45 million,$6.01M,
46,Zypp Electric,2017,Electric vehicle (EV) for delivery professionals through an app-based rental network,Provides electric two-wheelers for delivery specialists with app-based rentals,"Gurgaon, India",,$46 million,$37.5M,
47,Bounce Infinity,2021,Electric scooter and battery-swapping solution developer,Creates electric scooters with swappable batteries,"Gurgaon, India",,$47 million,$234M,
48,Bounce,2014,App-based platform for renting dockless two-wheelers,Allows users to rent dockless two-wheelers through a smartphone app,"Bengaluru, India",,$48 million,$199M,
49,Log9 Materials,2015,Manufacturer of fuel cell battery packs with graphene and aluminium,"Creates technologies for renewable energy storage, including battery pack charging systems","Bengaluru, India",,$49 million,$89.2M,
50,Hero Electric,2007,Electric scooter manufacturing,"Sells various models of electric scooters with features like Li-ion batteries, telescopic suspensions, LED headlights, etc.","Gurgaon, India",,$50 million,$72.3M,
51,Storm Motors,2011,Electric vehicle manufacturing,Develops the Storm-R3 model electric car with features like remote-assisted parking system,"Mumbai, India",,$51 million,$681K,
52,Orxa Energies,2015,Electric motorcycle manufacturing,"Creates ""The Mantis"" electric motorcycle with features like swappable batteries and a range of 200 kilometers","Bengaluru, India",,$52 million,$5.73M,
53,Simple Energy,2019,Electric scooter manufacturing,"Designs and develops electric scooters with features like a 236 km range, smart dashboard, etc.","Bengaluru, India",,$53 million,$53.5M,
54,Spero Electric,2016,Electric bicycle manufacturing,Creates Li-ion battery-powered electric bikes with a range of 60 to 100 km,"Coimbatore, India",,$54 million,$50K,
55,Magenta Mobility,2017,AI and cloud-based platform for goods delivery via electric vehicles,Enables customers to use electric vehicles for transporting and delivering items,"Navi Mumbai, India",,$55 million,$56.2M,
56,Maxwell Energy,2016,Manufacturer of electric vehicle battery management systems,Creates and provides cutting-edge electronics to OEMs for electric vehicles,"Mumbai, India",,$56 million,,
57,Clean Electric,2016,Lithium-ion battery producer for various types of electric vehicles,Offers technology for temperature imbalances in battery packs with thermal management solutions,"Pune, India",,$57 million,$2.35M,
58,RIVER,2021,Provider of complete self-driving electric car-sharing and management services,Creates self-driving cars with smartphone apps and fleet management services,"Bengaluru, India",,$58 million,,
59,Statiq,2019,Electric vehicle charging station provider,Allows users to identify and reserve nearby charging stations using a smartphone app,"Gurgaon, India",,$59 million,$27.5M,
