Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Invest-mentType,Amount (in USD)
51,23/01/2017,ChipperSage,Technology,Online learning platform,Bangalore,India Educational Investment Fund,Seed Funding,N/A
52,24/01/2017,SelectJobs,Consumer Internet,Online Job portal,Mumbai,India Educational Investment Fund,Seed Funding,N/A
53,24/01/2017,Khel Now,Consumer Internet,Mobile-based Social Platform for Sports,Bangalore,Indochine International,Private Equity,"500,000"
54,24/01/2017,NowFloats,Consumer Internet,Platform to take businesses online,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,"10,000,000"
55,24/01/2017,Lets Transport,Consumer Internet,Online transport vehicle booking platform,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,"4,000,000"
56,24/01/2017,BetaOut,Technology,ECommerce Marketing Software,Noida,East Ventures & Others,Private Equity,N/A
57,25/01/2017,Wishberry,Consumer Internet,Crowdfunding Platform,Mumbai,"Sharad Sharma, Rajan Anandan,  Amit Ranjan, Alok Mittal & others",Seed Funding,N/A
58,25/01/2017,RML Agtech,Technology,Agri Decision Support Solution for farmers,Pune,IvyCap Ventures,Private Equity,"4,000,000"
59,25/01/2017,LoyaltyPrime,Technology,Loyalty program management solutions,New Delhi,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",Private Equity,N/A
60,25/01/2017,InstaSafe,Technology,Security-as-a-Service solution provider,Bangalore,ABM Knowledgeware,Private Equity,"2,200,000"
61,25/01/2017,Infibeam,eCommerce,eCommerce Marketplace,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"8,800,000"
62,2/01/2017,99Games,Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,N/A
63,26/01/2017,AirMed Labs,Consumer Internet,Health Tests Booking platform & ePharmacy,Ahmedabad,Brand Capital,Private Equity,"1,400,000"
64,26/01/2017,99PerHour,Consumer Internet,Hyper-local Handyman Service provider,Chennai,V Aanand R,Seed Funding,"300,000"
65,26/01/2017,Kochi Post,Consumer Internet,English Online News portal,Kochi,"Rajesh Yohannan, Puthen & Cole",Seed Funding,N/A
66,30/01/2017,Intuit Things,Technology,IoT solutions for home automation applications,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,"106,000"
67,30/01/2017,Cloudrino,Technology,Cloud based Virtual Servers,New Delhi,The Ten Minute Million,Seed Funding,"22,500"
68,30/01/2017,FabX,eCommerce,Used Furniture Marketplace,Mumbai,The Ten Minute Million,Seed Funding,"68,000"
69,30/01/2017,Maptags,Consumer Internet,Smart Online address tags,Bangalore,The Ten Minute Million,Seed Funding,"18,000"
70,30/01/2017,YOLO Health,Consumer Internet,Online Healthcare platform,Mumbai,Chandigarh Angels Network (CAN),Seed Funding,N/A
71,31/01/2017,Heads Up For Tails,eCommerce,Online Pet Products Store,New Delhi,Undisclosed Investors,Private Equity,"2,000,000"
72,31/01/2017,Register My Marriage,Consumer Internet,Online Marriage Registration services,New Delhi,Mumbai Angels,Seed Funding,N/A
73,31/01/2017,,,,,,,
