Sr. No.,Date,Startup Name,Industry/Vertical,Sub-Vertical,City,Investor Name,Investment Type,Amount(in USD)
35,23/08/2017,Awign,Technology,Operations and manpower outsourcing,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,N/A
36,23/08/2017,Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,"500,000"
37,24/08/2017,Ezetap,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,"16,000,000"
38,25/08/2017,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,"750,000"
39,25/08/2017,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,"125,000"
40,28/08/2017,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,"7,000,000"
41,29/08/2017,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,  UC-RNT fund",Private Equity,"25,000,000"
42,29/08/2017,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,"750,000"
43,29/08/2017,Fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,N/A
44,30/08/2017,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,"34,000,000"
45,30/08/2017,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,"30,000,000"
